; -----------
; File select
; -----------

[$0C:$CEDF] $7E:F000[2] = $0000 | Room $0000
[$0C:$CEE6] $7E:F100[2] = $0000 | Room $0080
[$0C:$CEED] $7E:F200[2] = $0000 | Room $0100
[$0C:$CEF4] $7E:F300[2] = $0000 | Overworld $80
[$0C:$CEFB] $7E:F400[2] = $FF00 | Deaths Total
[$0C:$CEDF] $7E:F002[2] = $0000 | Room $0001
[$0C:$CEE6] $7E:F102[2] = $0000 | Room $0081
[$0C:$CEED] $7E:F202[2] = $0000 | Room $0101
[$0C:$CEF4] $7E:F302[2] = $0000 | 
[$0C:$CEFB] $7E:F402[2] = $00FF | Deaths Total
[$0C:$CEDF] $7E:F004[2] = $0000 | Room $0002
[$0C:$CEE6] $7E:F104[2] = $0000 | Room $0082
[$0C:$CEED] $7E:F204[2] = $0000 | Room $0102
[$0C:$CEF4] $7E:F304[2] = $0000 | 
[$0C:$CEFB] $7E:F404[2] = $0000 | 
[$0C:$CEDF] $7E:F006[2] = $0000 | Room $0003
[$0C:$CEE6] $7E:F106[2] = $0000 | Room $0083
[$0C:$CEED] $7E:F206[2] = $0000 | Room $0103
[$0C:$CEF4] $7E:F306[2] = $0000 | 
[$0C:$CEFB] $7E:F406[2] = $0000 | 
[$0C:$CEDF] $7E:F008[2] = $0000 | Room $0004
[$0C:$CEE6] $7E:F108[2] = $0000 | Room $0084
[$0C:$CEED] $7E:F208[2] = $0000 | Room $0104
[$0C:$CEF4] $7E:F308[2] = $0000 | 
[$0C:$CEFB] $7E:F408[2] = $0000 | 
[$0C:$CEDF] $7E:F00A[2] = $0000 | Room $0005
[$0C:$CEE6] $7E:F10A[2] = $0000 | Room $0085
[$0C:$CEED] $7E:F20A[2] = $0000 | Room $0105
[$0C:$CEF4] $7E:F30A[2] = $0000 | 
[$0C:$CEFB] $7E:F40A[2] = $0000 | 
[$0C:$CEDF] $7E:F00C[2] = $0000 | Room $0006
[$0C:$CEE6] $7E:F10C[2] = $0000 | Room $0086
[$0C:$CEED] $7E:F20C[2] = $F000 | Room $0106
[$0C:$CEF4] $7E:F30C[2] = $0000 | 
[$0C:$CEFB] $7E:F40C[2] = $0000 | 
[$0C:$CEDF] $7E:F00E[2] = $0000 | Room $0007
[$0C:$CEE6] $7E:F10E[2] = $0000 | Room $0087
[$0C:$CEED] $7E:F20E[2] = $F000 | Room $0107
[$0C:$CEF4] $7E:F30E[2] = $0000 | 
[$0C:$CEFB] $7E:F40E[2] = $0000 | 
[$0C:$CEDF] $7E:F010[2] = $0000 | Room $0008
[$0C:$CEE6] $7E:F110[2] = $0000 | Room $0088
[$0C:$CEED] $7E:F210[2] = $0000 | Room $0108
[$0C:$CEF4] $7E:F310[2] = $0000 | 
[$0C:$CEFB] $7E:F410[2] = $0000 | 
[$0C:$CEDF] $7E:F012[2] = $0000 | Room $0009
[$0C:$CEE6] $7E:F112[2] = $0000 | Room $0089
[$0C:$CEED] $7E:F212[2] = $0000 | Room $0109
[$0C:$CEF4] $7E:F312[2] = $0000 | 
[$0C:$CEFB] $7E:F412[2] = $0000 | 
[$0C:$CEDF] $7E:F014[2] = $0000 | Room $000A
[$0C:$CEE6] $7E:F114[2] = $0000 | Room $008A
[$0C:$CEED] $7E:F214[2] = $0000 | Room $010A
[$0C:$CEF4] $7E:F314[2] = $0000 | 
[$0C:$CEFB] $7E:F414[2] = $0000 | 
[$0C:$CEDF] $7E:F016[2] = $0000 | Room $000B
[$0C:$CEE6] $7E:F116[2] = $0000 | Room $008B
[$0C:$CEED] $7E:F216[2] = $0000 | Room $010B
[$0C:$CEF4] $7E:F316[2] = $0000 | 
[$0C:$CEFB] $7E:F416[2] = $0000 | 
[$0C:$CEDF] $7E:F018[2] = $0000 | Room $000C
[$0C:$CEE6] $7E:F118[2] = $0000 | Room $008C
[$0C:$CEED] $7E:F218[2] = $0000 | Room $010C
[$0C:$CEF4] $7E:F318[2] = $0000 | 
[$0C:$CEFB] $7E:F418[2] = $0000 | 
[$0C:$CEDF] $7E:F01A[2] = $0000 | Room $000D
[$0C:$CEE6] $7E:F11A[2] = $0000 | Room $008D
[$0C:$CEED] $7E:F21A[2] = $0000 | Room $010D
[$0C:$CEF4] $7E:F31A[2] = $0000 | 
[$0C:$CEFB] $7E:F41A[2] = $0000 | 
[$0C:$CEDF] $7E:F01C[2] = $0000 | Room $000E
[$0C:$CEE6] $7E:F11C[2] = $0000 | Room $008E
[$0C:$CEED] $7E:F21C[2] = $0000 | Room $010E
[$0C:$CEF4] $7E:F31C[2] = $0000 | 
[$0C:$CEFB] $7E:F41C[2] = $0000 | 
[$0C:$CEDF] $7E:F01E[2] = $0000 | Room $000F
[$0C:$CEE6] $7E:F11E[2] = $0000 | Room $008F
[$0C:$CEED] $7E:F21E[2] = $0000 | Room $010F
[$0C:$CEF4] $7E:F31E[2] = $0000 | 
[$0C:$CEFB] $7E:F41E[2] = $0000 | 
[$0C:$CEDF] $7E:F020[2] = $0000 | Room $0010
[$0C:$CEE6] $7E:F120[2] = $0000 | Room $0090
[$0C:$CEED] $7E:F220[2] = $0000 | Room $0110
[$0C:$CEF4] $7E:F320[2] = $0000 | 
[$0C:$CEFB] $7E:F420[2] = $0000 | 
[$0C:$CEDF] $7E:F022[2] = $0000 | Room $0011
[$0C:$CEE6] $7E:F122[2] = $0000 | Room $0091
[$0C:$CEED] $7E:F222[2] = $0000 | Room $0111
[$0C:$CEF4] $7E:F322[2] = $0000 | 
[$0C:$CEFB] $7E:F422[2] = $0000 | 
[$0C:$CEDF] $7E:F024[2] = $0000 | Room $0012
[$0C:$CEE6] $7E:F124[2] = $0000 | Room $0092
[$0C:$CEED] $7E:F224[2] = $0000 | Room $0112
[$0C:$CEF4] $7E:F324[2] = $0000 | 
[$0C:$CEFB] $7E:F424[2] = $0000 | 
[$0C:$CEDF] $7E:F026[2] = $0000 | Room $0013
[$0C:$CEE6] $7E:F126[2] = $0000 | Room $0093
[$0C:$CEED] $7E:F226[2] = $0000 | Room $0113
[$0C:$CEF4] $7E:F326[2] = $0000 | 
[$0C:$CEFB] $7E:F426[2] = $0000 | 
[$0C:$CEDF] $7E:F028[2] = $0000 | Room $0014
[$0C:$CEE6] $7E:F128[2] = $0000 | Room $0094
[$0C:$CEED] $7E:F228[2] = $0000 | Room $0114
[$0C:$CEF4] $7E:F328[2] = $0000 | 
[$0C:$CEFB] $7E:F428[2] = $0000 | 
[$0C:$CEDF] $7E:F02A[2] = $0000 | Room $0015
[$0C:$CEE6] $7E:F12A[2] = $0000 | Room $0095
[$0C:$CEED] $7E:F22A[2] = $0000 | Room $0115
[$0C:$CEF4] $7E:F32A[2] = $0000 | 
[$0C:$CEFB] $7E:F42A[2] = $0000 | 
[$0C:$CEDF] $7E:F02C[2] = $0000 | Room $0016
[$0C:$CEE6] $7E:F12C[2] = $0000 | Room $0096
[$0C:$CEED] $7E:F22C[2] = $0000 | Room $0116
[$0C:$CEF4] $7E:F32C[2] = $0000 | 
[$0C:$CEFB] $7E:F42C[2] = $0000 | 
[$0C:$CEDF] $7E:F02E[2] = $0000 | Room $0017
[$0C:$CEE6] $7E:F12E[2] = $0000 | Room $0097
[$0C:$CEED] $7E:F22E[2] = $0000 | Room $0117
[$0C:$CEF4] $7E:F32E[2] = $0000 | 
[$0C:$CEFB] $7E:F42E[2] = $0000 | 
[$0C:$CEDF] $7E:F030[2] = $0000 | Room $0018
[$0C:$CEE6] $7E:F130[2] = $0000 | Room $0098
[$0C:$CEED] $7E:F230[2] = $0000 | Room $0118
[$0C:$CEF4] $7E:F330[2] = $0000 | 
